esr_id;name;latitude;longitude
038807;Левашово;60.10431671;30.21862221
038811;Песочная;60.11754608;30.15149117
038826;Дибуны;60.12216568;30.12803841
038900;Новая Деревня;59.99176788;30.29681015
038915;Лахта;59.99456024;30.15252113
038920;Ольгино;59.99575806;30.13043022
038949;11 км;59.8405838;32.34297562
038953;Старая Деревня;59.98802567;30.25359535
038968;Яхтенная;59.9918251;30.22098541
039000;Лисий Нос;60.01442719;30.01244164
039015;Горская;60.0391655;29.97729492
039025;Александровская;60.05000305;29.97678185
039034;Тарховка;60.06215286;29.9734211
039049;Разлив;60.0788765;29.96819305
039104;Сестрорецк;60.09309006;29.95852661
039119;Курорт;60.1111412;29.95484543
039208;Белоостров;60.14433289;30.0136795
039212;Солнечное;60.15847778;29.94291306
039227;Репино;60.17296219;29.86839676
039231;Комарово;60.18456268;29.80904007
039301;Зеленогорск;60.20549011;29.70046616
039316;Ушково;60.2207756;29.62462425
039320;Молодёжная;59.82566071;30.37794876
039405;Рощино;60.24910355;29.57426071
039410;63 км;60.27374268;29.53054237
039513;Горьковское;60.29083633;29.50027847
039528;73 км;60.33777618;29.41664124
039602;Каннельярви;60.35778046;29.3887043
039617;Заходское;60.40976334;29.35225105
039706;Приветненское;60.17226791;29.43003464
039710;70 км;60.17138672;29.39845276
039725;Местерьярви;60.19675827;29.2648468
039730;Яппиля;60.22255707;29.18267059
039744;Тарасовское;60.26060104;29.13629913
039759;72 км;60.17917252;29.35920525
039763;Зеркальный;60.24409866;29.15340424
039814;Куолемаярви;60.33765793;28.98295403
039829;106 км;60.35515594;28.90382004
040008;Волховстрой-1;59.92121124;32.30067825
040012;119 км;59.91534424;32.25235367
040027;115 км;59.90984726;32.17677307
040031;Пупышево;59.90445328;32.10168457
040046;106 км;59.20526886;31.52545929
040101;Новгород-на-Волхове;58.52663422;31.25011253
040120;Новгород-Лужский;58.55213165;31.23310661
040135;88 км;58.56889725;31.18025589
040146;83 км;59.2928009;31.81032181
040169;73 км;58.60223389;30.93357086
040173;Люболяды (станция);58.61197662;30.83438492
040188;63 км;58.62250137;30.75202942
040212;Вяжище;58.61542892;31.21149445
040239;Татино;58.71294403;31.15443611
040243;Горенка;58.79788208;31.12495422
040262;Кересть;58.90511322;31.0877552
040277;123 км;58.93709946;31.07642555
040281;128 км;58.88949203;31.09285164
040296;137 км;58.8314476;31.11310577
040525;Радом;58.62815857;30.42829323
040531;58 км;58.6215477;30.69160843
040544;Мойка;58.62226486;30.62491417
040563;38 км;58.63855362;30.35601425
040614;Трегубово;58.99078751;31.53980064
040652;Мясной Бор;58.81779861;31.46533203
040671;Спасская Полисть;58.92833328;31.50547409
040703;Подберезье;58.70118332;31.36300659
040737;Предузловая-Павловская;58.56631088;31.2453289
040741;Новгород-депо;58.54805374;31.2575531
040900;Рогавка;58.94926453;31.07217598
040915;Огорелье;59.02535248;30.96366882
040927;104 км;59.08219528;30.91996765
040934;101 км;59.10042191;30.90594101
041000;Радофинниково;59.14543152;30.87122536
041015;Ёглино;59.24730301;30.79232788
041022;77 км;59.3012352;30.75053596
041034;Кастенская;59.33189011;30.72572136
041049;Лустовка;59.42595673;30.64808846
041068;53 км;59.49556732;30.58032227
041072;46 км;59.56235504;30.54823494
041087;51 км;59.52015686;30.56057739
041091;48 км;59.54159546;30.55509949
041104;Боровёнка;58.48420715;33.07516098
041119;Вялка;58.53850555;32.97027206
041123;226 км;58.51498413;33.01425934
041208;Торбино;58.58189774;32.88058472
041212;204 км;58.62059021;32.79053116
041231;203 км;58.63734055;32.74223709
041246;213 км;58.07246017;30.22013474
041316;190 км;58.6857338;32.59191895
041418;Мстинский Мост;58.68982697;32.57420349
041424;186 км;58.70145798;32.52765274
041513;Краснёнка;58.77438354;32.36936188
041528;113 км;58.78746033;32.34267044
041551;179 км;58.7436142;32.43220139
041602;Малая Вишера;58.84619522;32.22135925
041706;Большая Вишера;58.90876007;32.0927887
041710;144 км;58.69268417;30.32126999
041814;Дубцы;59.01791382;31.86554909
041829;130 км;59.04566193;31.81409073
041833;Волхов Мост;59.07388687;31.7699585
041848;Волхово;59.08309174;31.75260544
041852;Гряды;58.97211075;31.96120071
042003;Чудово-Московское;59.12264633;31.67928696
042018;Чудово-Новгородское;59.11423492;31.64522362
042022;Чудово-Кировское;59.16456985;31.66699982
042037;96 км;59.18241882;31.71691322
042041;92 км;58.82879639;35.04079819
042056;Водос;59.24280167;31.80550003
042060;85 км;59.28004074;31.8100338
042075;83 км;59.57198715;33.34816742
042085;Тигода;59.35691071;31.81411362
042107;Ирса;59.45331192;31.90164566
042200;Торфяное;59.17825699;31.5758152
042215;106 км;59.20526886;31.52545929
042291;Бабино II;59.2226944;31.49278069
042319;Трубниково;59.26972961;31.40437698
042323;93 км;59.63687515;33.47246552
042338;Померанье;59.31162643;31.32546425
042342;Бабино;59.24061584;31.459095
042408;Любань;59.35133743;31.25045395
042412;Болотницкая;59.38289642;31.19057655
